date,rebalance,signal,ETH,USD
2019-01-01 00:00:00,False,neutral,132.74,1
2019-01-01 01:00:00,False,neutral,133.36,1
2019-01-01 02:00:00,False,neutral,133.56,1
2019-01-01 03:00:00,False,neutral,134.55,1
2019-01-01 04:00:00,False,neutral,133.72,1
2019-01-01 05:00:00,False,neutral,133.89,1
2019-01-01 06:00:00,False,neutral,133.78,1
2019-01-01 07:00:00,False,neutral,134.48,1
2019-01-01 08:00:00,False,neutral,134.43,1
2019-01-01 09:00:00,False,neutral,133.52,1
2019-01-01 10:00:00,False,neutral,132.97,1
2019-01-01 11:00:00,False,neutral,133.29,1
2019-01-01 12:00:00,False,neutral,132.56,1
2019-01-01 13:00:00,False,neutral,132.04,1
2019-01-01 14:00:00,False,neutral,135.26,1
2019-01-01 15:00:00,False,neutral,137.95,1
2019-01-01 16:00:00,False,neutral,137.05,1
2019-01-01 17:00:00,False,neutral,137.64,1
2019-01-01 18:00:00,False,neutral,139.1,1
2019-01-01 19:00:00,False,neutral,138.92,1
2019-01-01 20:00:00,False,neutral,138.02,1
2019-01-01 21:00:00,False,neutral,138.59,1
2019-01-01 22:00:00,False,neutral,138.66,1
2019-01-01 23:00:00,False,neutral,139.19,1
2019-01-02 00:00:00,False,neutral,138.91,1
2019-01-02 01:00:00,False,neutral,138.99,1
2019-01-02 02:00:00,False,neutral,143.48,1
2019-01-02 03:00:00,False,neutral,144.58,1
2019-01-02 04:00:00,False,neutral,144.66,1
2019-01-02 05:00:00,False,neutral,148.66,1
2019-01-02 06:00:00,False,neutral,147.82,1
2019-01-02 07:00:00,False,neutral,148.02,1
2019-01-02 08:00:00,False,neutral,151.9,1
2019-01-02 09:00:00,False,neutral,150.55,1
2019-01-02 10:00:00,False,neutral,148.62,1
2019-01-02 11:00:00,False,neutral,149.21,1
2019-01-02 12:00:00,False,neutral,149.02,1
2019-01-02 13:00:00,False,neutral,149.21,1
2019-01-02 14:00:00,False,neutral,150.5,1
2019-01-02 15:00:00,False,neutral,151.19,1
2019-01-02 16:00:00,False,neutral,153.54,1
2019-01-02 17:00:00,False,neutral,153.67,1
2019-01-02 18:00:00,False,neutral,152.01,1
2019-01-02 19:00:00,False,neutral,149.4,1
2019-01-02 20:00:00,False,neutral,150.88,1
2019-01-02 21:00:00,False,neutral,151.08,1
2019-01-02 22:00:00,False,neutral,151.78,1
2019-01-02 23:00:00,False,neutral,152.22,1
2019-01-03 00:00:00,False,neutral,151.78,1
2019-01-03 01:00:00,False,neutral,151.93,1
2019-01-03 02:00:00,False,neutral,151.76,1
2019-01-03 03:00:00,False,neutral,148.51,1
2019-01-03 04:00:00,False,neutral,147.98,1
2019-01-03 05:00:00,False,neutral,148.28,1
2019-01-03 06:00:00,False,neutral,146.53,1
2019-01-03 07:00:00,False,neutral,148.35,1
2019-01-03 08:00:00,False,neutral,148.29,1
2019-01-03 09:00:00,False,neutral,146.85,1
2019-01-03 10:00:00,False,neutral,147.74,1
2019-01-03 11:00:00,False,neutral,143.95,1
2019-01-03 12:00:00,False,neutral,144.55,1
2019-01-03 13:00:00,False,neutral,144.51,1
2019-01-03 14:00:00,False,neutral,145.26,1
2019-01-03 15:00:00,False,neutral,147.88,1
2019-01-03 16:00:00,False,neutral,147.12,1
2019-01-03 17:00:00,False,neutral,147.79,1
2019-01-03 18:00:00,False,neutral,146.3,1
2019-01-03 19:00:00,False,neutral,146.14,1
2019-01-03 20:00:00,False,neutral,147.6,1
2019-01-03 21:00:00,False,neutral,146.82,1
2019-01-03 22:00:00,False,neutral,150.77,1
2019-01-03 23:00:00,False,neutral,151.28,1
2019-01-04 00:00:00,False,neutral,153.11,1
2019-01-04 01:00:00,False,neutral,153.33,1
2019-01-04 02:00:00,False,neutral,152.6,1
2019-01-04 03:00:00,False,neutral,151.17,1
2019-01-04 04:00:00,False,neutral,150.26,1
2019-01-04 05:00:00,False,neutral,151.85,1
2019-01-04 06:00:00,False,neutral,149.38,1
2019-01-04 07:00:00,False,neutral,149.78,1
2019-01-04 08:00:00,False,neutral,149.38,1
2019-01-04 09:00:00,False,neutral,145.97,1
2019-01-04 10:00:00,False,neutral,147.1,1
2019-01-04 11:00:00,False,neutral,148.03,1
2019-01-04 12:00:00,False,neutral,147.24,1
2019-01-04 13:00:00,False,neutral,147.05,1
2019-01-04 14:00:00,False,neutral,148.31,1
2019-01-04 15:00:00,False,neutral,150.87,1
2019-01-04 16:00:00,False,neutral,152.7,1
2019-01-04 17:00:00,False,neutral,151.98,1
2019-01-04 18:00:00,False,neutral,152.08,1
2019-01-04 19:00:00,False,neutral,157.84,1
2019-01-04 20:00:00,False,neutral,157.68,1
2019-01-04 21:00:00,False,neutral,157.4,1
2019-01-04 22:00:00,False,neutral,157.56,1
2019-01-04 23:00:00,False,neutral,157.0,1
2019-01-05 00:00:00,False,neutral,157.7,1
2019-01-05 01:00:00,True,neutral,154.51,1
2019-01-05 02:00:00,False,neutral,153.13,1
2019-01-05 03:00:00,False,neutral,154.17,1
2019-01-05 04:00:00,False,bull,154.2,1
2019-01-05 05:00:00,False,bull,153.74,1
2019-01-05 06:00:00,False,bull,155.92,1
2019-01-05 07:00:00,False,bull,155.25,1
2019-01-05 08:00:00,False,bull,154.84,1
2019-01-05 09:00:00,False,bull,154.61,1
2019-01-05 10:00:00,False,bull,154.18,1
2019-01-05 11:00:00,False,bull,153.85,1
2019-01-05 12:00:00,False,bull,154.66,1
2019-01-05 13:00:00,False,bull,155.52,1
2019-01-05 14:00:00,False,bull,155.69,1
2019-01-05 15:00:00,False,bull,155.47,1
2019-01-05 16:00:00,False,bull,155.78,1
2019-01-05 17:00:00,False,bull,154.08,1
2019-01-05 18:00:00,False,bull,152.83,1
2019-01-05 19:00:00,False,bull,153.43,1
2019-01-05 20:00:00,False,bull,149.57,1
2019-01-05 21:00:00,False,bull,149.52,1
2019-01-05 22:00:00,False,bull,150.57,1
2019-01-05 23:00:00,False,bull,150.5,1
2019-01-06 00:00:00,False,bull,150.69,1
2019-01-06 01:00:00,False,bull,150.46,1
2019-01-06 02:00:00,False,bull,149.96,1
2019-01-06 03:00:00,False,bull,150.09,1
2019-01-06 04:00:00,False,bull,150.46,1
2019-01-06 05:00:00,False,bull,151.72,1
2019-01-06 06:00:00,False,bull,152.53,1
2019-01-06 07:00:00,False,bull,150.68,1
2019-01-06 08:00:00,False,bull,150.97,1
2019-01-06 09:00:00,False,bull,151.14,1
2019-01-06 10:00:00,False,bull,150.91,1
2019-01-06 11:00:00,False,bull,151.41,1
2019-01-06 12:00:00,False,bull,155.49,1
2019-01-06 13:00:00,False,bull,154.71,1
2019-01-06 14:00:00,False,bull,154.8,1
2019-01-06 15:00:00,False,bull,153.01,1
2019-01-06 16:00:00,False,bull,153.38,1
2019-01-06 17:00:00,False,bull,152.77,1
2019-01-06 18:00:00,False,bull,153.89,1
2019-01-06 19:00:00,False,bull,154.34,1
2019-01-06 20:00:00,False,bull,153.0,1
2019-01-06 21:00:00,False,bull,152.84,1
2019-01-06 22:00:00,False,bull,153.1,1
2019-01-06 23:00:00,False,bull,152.92,1
2019-01-07 00:00:00,False,bull,153.33,1
2019-01-07 01:00:00,False,bull,153.27,1
2019-01-07 02:00:00,False,bull,153.55,1
2019-01-07 03:00:00,False,bull,153.27,1
2019-01-07 04:00:00,False,bull,149.6,1
2019-01-07 05:00:00,False,bull,150.21,1
2019-01-07 06:00:00,False,bull,151.37,1
2019-01-07 07:00:00,False,bull,149.91,1
2019-01-07 08:00:00,False,bull,151.12,1
2019-01-07 09:00:00,False,bull,151.55,1
2019-01-07 10:00:00,False,bull,150.59,1
2019-01-07 11:00:00,False,bull,150.72,1
2019-01-07 12:00:00,False,bull,150.84,1
2019-01-07 13:00:00,False,bull,151.24,1
2019-01-07 14:00:00,False,bull,151.39,1
2019-01-07 15:00:00,False,bull,150.03,1
2019-01-07 16:00:00,False,neutral,149.39,1
2019-01-07 17:00:00,False,neutral,148.64,1
2019-01-07 18:00:00,False,neutral,149.29,1
2019-01-07 19:00:00,False,neutral,150.17,1
2019-01-07 20:00:00,False,neutral,148.61,1
2019-01-07 21:00:00,False,neutral,146.72,1
2019-01-07 22:00:00,False,neutral,146.57,1
2019-01-07 23:00:00,False,neutral,146.53,1
2019-01-08 00:00:00,False,neutral,146.46,1
2019-01-08 01:00:00,False,neutral,146.97,1
2019-01-08 02:00:00,False,neutral,146.83,1
2019-01-08 03:00:00,False,neutral,147.18,1
2019-01-08 04:00:00,False,neutral,147.85,1
2019-01-08 05:00:00,False,neutral,148.07,1
2019-01-08 06:00:00,False,neutral,149.67,1
2019-01-08 07:00:00,False,neutral,149.37,1
2019-01-08 08:00:00,False,neutral,151.19,1
2019-01-08 09:00:00,False,neutral,149.66,1
2019-01-08 10:00:00,False,neutral,148.85,1
2019-01-08 11:00:00,False,neutral,148.18,1
2019-01-08 12:00:00,False,neutral,147.62,1
