wiggle_room,allocation,2017.08.16-2018.02.14,2017.10.16-2018.04.15,2017.12.15-2018.06.14,2018.02.14-2018.08.14,2018.04.15-2018.10.13,2018.06.14-2018.12.12,2018.08.14-2019.02.10,2018.10.13-2019.04.11,2018.12.12-2019.06.11,2019.02.10-2019.08.10,2019.04.11-2019.10.09,2019.06.11-2019.12.08,2019.08.09-2020.02.06,2019.10.09-2020.04.06,sum
0.1,0.9/0.1,-747.3256793580872,-332.3604182759301,752.2216957267269,2073.8667560197528,1221.4978413413705,2455.230903695679,1919.909729963053,1673.3982878087318,-1089.1251446866825,-825.9773136672524,-34.80633267804074,793.9306757418144,548.7063423875107,563.2045563122921,8972.37190033094
0.09,0.9/0.1,-803.6732184608027,-332.3604182759301,752.2216957267269,2054.72330702445,1195.1383115179342,2393.5132592872956,1758.1028241872486,1618.0189818296049,-1089.1251446866825,-825.9773136672524,-34.80633267804074,793.9306757418144,546.720890605928,530.0206983702686,8556.448216522562
0.08,0.9/0.1,-803.6732184608027,-332.3604182759301,752.2216957267269,2054.72330702445,1195.1383115179342,2393.5132592872956,1758.1028241872486,1618.0189818296049,-1098.9772266095583,-828.2826787627127,-44.02773538239434,765.3089834912735,540.5114542343287,499.349289995287,8469.56682980275
0.07,0.9/0.1,-803.6732184608027,-360.2503824985921,678.4185615332162,2081.5271635674753,1212.7867220002329,2378.054235050036,1730.4369157838423,1603.6641001251855,-1115.9612169781503,-828.2826787627127,-44.02773538239434,765.3089834912735,540.5114542343287,499.349289995287,8337.862193698225
0.06,0.9/0.1,-790.2017823879316,-333.33908909062563,737.8535524525499,2059.360341860981,1162.105398228831,2303.5864402281763,1775.1765521572036,1603.2745789533117,-1116.107380145623,-831.5279218229066,-56.20334939974567,765.3089834912735,540.5114542343287,508.97343637226163,8328.771215132085
0.08,0.85/0.15,-729.4532677978585,-372.12827447231814,663.2389960686983,1982.533401854521,1155.055066954535,2335.277395188597,1854.7110057347872,1551.4908917708653,-1054.6611895865194,-831.0931773995045,-89.63477529921713,765.4262388344747,556.8939836931164,501.05097565505747,8288.707271199237
0.1,0.85/0.15,-736.2373839701835,-411.72491538793923,721.8897484046494,1999.6637204260803,1181.867113392087,2322.8555358345693,1720.834231379395,1531.0828051177712,-1013.9448709943756,-869.8308110076177,-121.77886893263901,786.0935142885131,692.4426560307312,428.39681803430454,8231.609292615345
0.09,0.85/0.15,-736.2373839701835,-425.3880938190203,539.0846733421214,1999.6637204260803,1182.9154325794818,2373.511397910535,1854.7110057347872,1531.0828051177712,-1004.5433708549243,-828.978646851931,-81.27958048844128,765.5252176892006,556.8939836931164,433.82932793538106,8160.790488443977
0.05,0.9/0.1,-790.2017823879316,-333.33908909062563,737.8535524525499,1987.2473553487096,1172.8613803250018,2292.7099506135364,1699.97027331909,1498.5928155171443,-1116.107380145623,-832.2671529172038,-56.20334939974567,762.3277048156357,536.8325168647114,525.2454702398868,8085.522265555137
0.07,0.85/0.15,-778.0330012820506,-372.12827447231814,663.2389960686983,1982.533401854521,1152.5184265216585,2326.4462378175704,1716.6355966818653,1551.4908917708653,-1064.8694369139887,-831.0931773995045,-89.63477529921713,765.4262388344747,549.6346585297974,477.99944315824257,8050.165225870615
0.04,0.9/0.1,-792.893752683705,-351.9262432634778,652.314376600179,1987.2473553487096,1172.8613803250018,2300.744283612297,1710.1770512610021,1507.5331908169942,-1113.1387948771694,-822.1380944314892,-45.44370083517931,762.3277048156357,536.8325168647114,504.5670181959595,8009.06429174947
0.0,0.9/0.1,-786.0923949537912,-332.1793038826196,672.7433546746378,1984.0355300926296,1155.2196719749936,2314.035073101951,1736.9855868921024,1502.9621269103227,-1129.7827829690732,-830.3865914800696,-60.95116579576535,759.7573569534641,529.7467925710737,490.88734599770993,8006.980600087567
0.06,0.85/0.15,-774.3935651683585,-372.58163122006624,653.2179328593111,2004.859653360998,1167.754628555018,2312.891393910572,1689.9084209054713,1551.4908917708653,-1079.5276759229448,-831.0931773995045,-89.63477529921713,741.7337489305766,549.6346585297974,477.99944315824257,8002.259946970761
0.03,0.9/0.1,-792.893752683705,-351.9262432634778,652.314376600179,1987.2473553487096,1172.8613803250018,2300.744283612297,1707.7846162219678,1503.4103727312463,-1125.8674358957508,-827.8275975322111,-60.95116579576535,762.2355118572891,536.1366289194898,497.8361030835961,7961.104433528867
