date,ETH,BTC
2019-01-01 00:00:00,133.36,3703.56
2019-01-01 01:00:00,133.56,3713.83
2019-01-01 02:00:00,134.52,3716.7
2019-01-01 03:00:00,133.7,3699.95
2019-01-01 04:00:00,133.86,3713.07
2019-01-01 05:00:00,133.75,3707.54
2019-01-01 06:00:00,134.48,3717.0
2019-01-01 07:00:00,134.54,3715.93
2019-01-01 08:00:00,133.57,3698.53
2019-01-01 09:00:00,132.98,3682.61
2019-01-01 10:00:00,133.29,3693.54
2019-01-01 11:00:00,132.58,3686.32
2019-01-01 12:00:00,132.04,3659.41
2019-01-01 13:00:00,135.27,3696.73
2019-01-01 14:00:00,137.95,3719.0
2019-01-01 15:00:00,137.06,3708.21
2019-01-01 16:00:00,137.63,3711.2
2019-01-01 17:00:00,139.1,3797.14
2019-01-01 18:00:00,138.92,3778.02
2019-01-01 19:00:00,138.04,3770.0
2019-01-01 20:00:00,138.59,3779.98
2019-01-01 21:00:00,138.67,3783.28
2019-01-01 22:00:00,139.18,3776.41
2019-01-01 23:00:00,138.91,3773.04
2019-01-02 00:00:00,138.99,3758.53
2019-01-02 01:00:00,143.48,3771.08
2019-01-02 02:00:00,144.57,3781.35
2019-01-02 03:00:00,144.62,3775.0
2019-01-02 04:00:00,148.65,3788.0
2019-01-02 05:00:00,147.81,3787.97
2019-01-02 06:00:00,148.07,3792.51
2019-01-02 07:00:00,151.9,3825.65
2019-01-02 08:00:00,150.55,3811.24
2019-01-02 09:00:00,148.62,3801.28
2019-01-02 10:00:00,149.24,3824.89
2019-01-02 11:00:00,149.06,3822.6
2019-01-02 12:00:00,149.2,3828.87
2019-01-02 13:00:00,150.49,3824.98
2019-01-02 14:00:00,151.18,3849.0
2019-01-02 15:00:00,153.55,3856.68
2019-01-02 16:00:00,153.67,3862.12
2019-01-02 17:00:00,152.01,3858.56
2019-01-02 18:00:00,149.4,3830.78
2019-01-02 19:00:00,150.89,3835.96
2019-01-02 20:00:00,151.03,3833.47
2019-01-02 21:00:00,151.78,3841.83
2019-01-02 22:00:00,152.22,3834.59
2019-01-02 23:00:00,151.72,3824.38
2019-01-03 00:00:00,151.93,3820.53
2019-01-03 01:00:00,151.8,3828.88
2019-01-03 02:00:00,148.51,3805.0
2019-01-03 03:00:00,147.99,3805.81
2019-01-03 04:00:00,148.28,3811.52
2019-01-03 05:00:00,146.5,3804.0
2019-01-03 06:00:00,148.33,3818.02
2019-01-03 07:00:00,148.29,3817.36
2019-01-03 08:00:00,146.85,3796.7
2019-01-03 09:00:00,147.74,3806.7
2019-01-03 10:00:00,143.95,3738.0
2019-01-03 11:00:00,144.65,3748.46
2019-01-03 12:00:00,144.52,3757.89
2019-01-03 13:00:00,145.26,3756.0
2019-01-03 14:00:00,147.89,3780.03
2019-01-03 15:00:00,147.13,3771.26
2019-01-03 16:00:00,147.79,3773.79
2019-01-03 17:00:00,146.3,3766.78
2019-01-03 18:00:00,146.14,3750.3
2019-01-03 19:00:00,147.6,3766.23
2019-01-03 20:00:00,146.81,3758.65
2019-01-03 21:00:00,150.77,3780.04
2019-01-03 22:00:00,151.29,3775.33
2019-01-03 23:00:00,153.11,3779.9
2019-01-04 00:00:00,153.33,3783.02
2019-01-04 01:00:00,152.6,3783.28
2019-01-04 02:00:00,151.17,3771.34
2019-01-04 03:00:00,150.29,3764.35
2019-01-04 04:00:00,151.82,3775.48
2019-01-04 05:00:00,149.34,3757.55
2019-01-04 06:00:00,149.78,3755.52
2019-01-04 07:00:00,149.38,3744.0
2019-01-04 08:00:00,145.88,3717.14
2019-01-04 09:00:00,147.11,3725.28
2019-01-04 10:00:00,148.04,3747.5
2019-01-04 11:00:00,147.25,3745.22
2019-01-04 12:00:00,147.05,3730.0
2019-01-04 13:00:00,148.31,3739.53
2019-01-04 14:00:00,150.96,3764.24
2019-01-04 15:00:00,152.68,3802.36
2019-01-04 16:00:00,151.98,3790.98
2019-01-04 17:00:00,151.97,3792.01
2019-01-04 18:00:00,157.78,3811.76
2019-01-04 19:00:00,157.64,3803.58
2019-01-04 20:00:00,157.4,3811.88
2019-01-04 21:00:00,157.56,3815.0
2019-01-04 22:00:00,157.0,3815.72
2019-01-04 23:00:00,157.68,3834.01
2019-01-05 00:00:00,154.51,3799.45
2019-01-05 01:00:00,153.14,3785.15
2019-01-05 02:00:00,154.16,3793.56
2019-01-05 03:00:00,154.19,3790.36
2019-01-05 04:00:00,153.74,3787.94
2019-01-05 05:00:00,155.92,3801.26
2019-01-05 06:00:00,155.22,3802.47
2019-01-05 07:00:00,154.83,3793.84
2019-01-05 08:00:00,154.64,3787.45
2019-01-05 09:00:00,154.17,3785.58
2019-01-05 10:00:00,153.84,3797.19
2019-01-05 11:00:00,154.66,3801.36
2019-01-05 12:00:00,155.5,3809.02
2019-01-05 13:00:00,155.64,3810.98
2019-01-05 14:00:00,155.47,3803.68
